kdcode,dt
000001.SZ,2024-09-24
000002.SZ,2024-09-24
000069.SZ,2024-09-24
000157.SZ,2024-09-24
000166.SZ,2024-09-24
000338.SZ,2024-09-24
000568.SZ,2024-09-24
000625.SZ,2024-09-24
000725.SZ,2024-09-24
000768.SZ,2024-09-24
000776.SZ,2024-09-24
000858.SZ,2024-09-24
000876.SZ,2024-09-24
000963.SZ,2024-09-24
002007.SZ,2024-09-24
002027.SZ,2024-09-24
002230.SZ,2024-09-24
002241.SZ,2024-09-24
002304.SZ,2024-09-24
002460.SZ,2024-09-24
002475.SZ,2024-09-24
002555.SZ,2024-09-24
002594.SZ,2024-09-24
002714.SZ,2024-09-24
002736.SZ,2024-09-24
300033.SZ,2024-09-24
300059.SZ,2024-09-24
300122.SZ,2024-09-24
600000.SH,2024-09-24
600011.SH,2024-09-24
600015.SH,2024-09-24
600016.SH,2024-09-24
600018.SH,2024-09-24
600019.SH,2024-09-24
600028.SH,2024-09-24
600029.SH,2024-09-24
600031.SH,2024-09-24
600036.SH,2024-09-24
600048.SH,2024-09-24
600050.SH,2024-09-24
600061.SH,2024-09-24
600085.SH,2024-09-24
600104.SH,2024-09-24
600111.SH,2024-09-24
600115.SH,2024-09-24
600196.SH,2024-09-24
600276.SH,2024-09-24
600362.SH,2024-09-24
600406.SH,2024-09-24
600436.SH,2024-09-24
600519.SH,2024-09-24
600570.SH,2024-09-24
600585.SH,2024-09-24
600588.SH,2024-09-24
600660.SH,2024-09-24
600741.SH,2024-09-24
600795.SH,2024-09-24
600837.SH,2024-09-24
600886.SH,2024-09-24
600887.SH,2024-09-24
600926.SH,2024-09-24
601006.SH,2024-09-24
601009.SH,2024-09-24
601021.SH,2024-09-24
601088.SH,2024-09-24
601155.SH,2024-09-24
601166.SH,2024-09-24
601169.SH,2024-09-24
601186.SH,2024-09-24
601211.SH,2024-09-24
601225.SH,2024-09-24
601229.SH,2024-09-24
601288.SH,2024-09-24
601318.SH,2024-09-24
601328.SH,2024-09-24
601336.SH,2024-09-24
601398.SH,2024-09-24
601601.SH,2024-09-24
601618.SH,2024-09-24
601628.SH,2024-09-24
601633.SH,2024-09-24
601668.SH,2024-09-24
601669.SH,2024-09-24
601688.SH,2024-09-24
601766.SH,2024-09-24
601788.SH,2024-09-24
601800.SH,2024-09-24
601818.SH,2024-09-24
601857.SH,2024-09-24
601877.SH,2024-09-24
601878.SH,2024-09-24
601881.SH,2024-09-24
601888.SH,2024-09-24
601901.SH,2024-09-24
601919.SH,2024-09-24
601939.SH,2024-09-24
601985.SH,2024-09-24
601988.SH,2024-09-24
601989.SH,2024-09-24
601998.SH,2024-09-24
603833.SH,2024-09-24
603993.SH,2024-09-24
